 Bins    Order     Time    Rows    Missing    Missing %  Scheme        RMSE
   145        1  27.6297  122648          4        0.003  LAST      14.4613
   190        1  29.112   122648          6        0.005  LAST      14.4615
    15        6  25.2638  122643        780        0.636  LAST      14.4627
   185        1  27.2675  122648          9        0.007  MEDIAN    14.4628
   195        1  30.1963  122648          7        0.006  LAST      14.4632
   155        1  28.2361  122648          6        0.005  MEAN      14.4653
    95        1  28.6136  122648          0        0      RAND      14.4667
   135        1  26.6473  122648          4        0.003  RAND      14.4669
   120        1  29.5472  122648          0        0      MEDIAN    14.4672
   140        1  27.8529  122648          2        0.002  MEDIAN    14.4682
   170        1  29.0731  122648          5        0.004  MEAN      14.4684
   125        1  25.8187  122648          2        0.002  RAND      14.4699
    90        1  29.6563  122648          0        0      MEAN      14.4709
   130        1  28.4443  122648          5        0.004  LAST      14.474
   115        1  27.8278  122648          0        0      LAST      14.4753
   160        1  26.8618  122648          4        0.003  LAST      14.4794
    85        1  27.5113  122648          0        0      RAND      14.4796
   100        1  28.1766  122648          1        0.001  MEDIAN    14.4805
    85        1  27.8426  122648          0        0      MEDIAN    14.4806
   145        1  29.2694  122648          4        0.003  MEAN      14.4814
   145        1  28.3198  122648          4        0.003  MEDIAN    14.4827
   160        1  27.2199  122648          4        0.003  MEAN      14.4852
   105        1  29.718   122648          0        0      MEAN      14.4853
   105        1  27.0393  122648          0        0      MEDIAN    14.4884
    80        1  26.4485  122648          0        0      MEDIAN    14.4939
   105        1  28.5832  122648          0        0      RAND      14.4964
   110        1  26.1788  122648          1        0.001  LAST      14.4967
   165        1  28.5157  122648          5        0.004  RAND      14.4989
   165        1  29.5444  122648          5        0.004  MEDIAN    14.5001
   115        1  28.6608  122648          0        0      RAND      14.5041
   185        1  29.1931  122648          9        0.007  LAST      14.5044
   115        1  33.1252  122648          0        0      MEAN      14.5147
    75        1  25.1823  122648          0        0      RAND      14.5197
    90        1  27.8812  122648          0        0      MEDIAN    14.5208
   110        1  28.7742  122648          1        0.001  MEDIAN    14.5224
   110        1  28.8749  122648          1        0.001  MEAN      14.5226
    65        1  30.4843  122648          0        0      MEDIAN    14.5234
   105        1  29.2377  122648          0        0      LAST      14.5269
    90        1  28.5972  122648          0        0      LAST      14.5273
    85        1  29.2295  122648          0        0      MEAN      14.5325
    75        1  26.5618  122648          0        0      LAST      14.5341
    60        1  30.1542  122648          0        0      RAND      14.5455
    75        1  29.3316  122648          0        0      MEDIAN    14.5466
    70        1  31.0203  122648          0        0      MEDIAN    14.5503
   100        1  30.7989  122648          1        0.001  MEAN      14.5534
    80        1  28.3527  122648          0        0      RAND      14.5549
   100        1  26.8442  122648          1        0.001  RAND      14.5577
    65        1  25.9383  122648          0        0      MEAN      14.5578
   170        1  31.7192  122648          5        0.004  MEDIAN    14.5621
   100        1  25.9909  122648          1        0.001  LAST      14.5634
    55        1  26.784   122648          0        0      MEDIAN    14.564
    70        1  27.7738  122648          0        0      MEAN      14.5651
    70        1  28.3672  122648          0        0      RAND      14.5801
    70        1  27.9273  122648          0        0      LAST      14.5836
    65        1  28.4554  122648          0        0      LAST      14.5951
    60        1  26.0143  122648          0        0      LAST      14.6019
    85        1  25.9349  122648          0        0      LAST      14.607
    65        1  25.3273  122648          0        0      RAND      14.6084
    75        1  28.5352  122648          0        0      MEAN      14.6112
    60        1  27.8359  122648          0        0      MEAN      14.6174
    60        1  27.7691  122648          0        0      MEDIAN    14.6317
    15        7  28.0312  122642       1795        1.464  RAND      14.643
    55        1  25.488   122648          0        0      MEAN      14.6731
    55        1  27.1836  122648          0        0      LAST      14.694
    55        1  29.8233  122648          0        0      RAND      14.694
    50        1  28.0302  122648          0        0      MEDIAN    14.7227
    50        1  28.7592  122648          0        0      RAND      14.7319
    45        1  28.1515  122648          0        0      LAST      14.7342
    45        1  27.9173  122648          0        0      RAND      14.7664
    45        1  27.4689  122648          0        0      MEAN      14.7703
    50        1  28.3031  122648          0        0      MEAN      14.7738
    45        1  26.2288  122648          0        0      MEDIAN    14.7844
    50        1  26.9069  122648          0        0      LAST      14.8051
    40        1  26.9473  122648          0        0      MEDIAN    14.8413
    40        1  26.2646  122648          0        0      MEAN      14.8424
    40        1  25.2138  122648          0        0      RAND      14.8649
    40        1  26.416   122648          0        0      LAST      14.9344
    15        7  24.6863  122642       1795        1.464  LAST      14.9444
    35        1  27.2113  122648          0        0      MEAN      15.0271
    35        1  26.0508  122648          0        0      LAST      15.0737
    35        1  28.7184  122648          0        0      RAND      15.1019
    35        1  27.8417  122648          0        0      MEDIAN    15.1158
    30        1  26.7309  122648          0        0      MEDIAN    15.224
    30        1  28.4456  122648          0        0      MEAN      15.2611
    30        1  27.7351  122648          0        0      LAST      15.2751
    30        1  28.9318  122648          0        0      RAND      15.2846
    25        1  28.862   122648          0        0      RAND      15.6186
    25        1  28.1309  122648          0        0      MEDIAN    15.6374
    25        1  27.9213  122648          0        0      MEAN      15.6888
    25        1  25.2054  122648          0        0      LAST      15.7607
    20        1  27.2461  122648          0        0      RAND      16.2861
    20        1  25.355   122648          0        0      LAST      16.3064
    20        1  27.4348  122648          0        0      MEAN      16.3281
    20        1  26.3136  122648          0        0      MEDIAN    16.3474
    10        4  26.2413  122645         84        0.068  MEAN      16.8784
    10        4  27.2494  122645         84        0.068  RAND      16.9268
    10        5  26.5411  122644        178        0.145  MEDIAN    16.9307
    10        4  26.501   122645         84        0.068  MEDIAN    16.9378
    10        4  24.885   122645         84        0.068  LAST      16.9425
    10        5  25.7649  122644        178        0.145  MEAN      16.9847
    10        5  29.5789  122644        178        0.145  RAND      16.9864
    10        3  26.2399  122646         25        0.02   MEDIAN    17.0368
    10        3  26.5158  122646         25        0.02   RAND      17.0423
    10        5  24.8041  122644        178        0.145  LAST      17.0627
    10        3  25.898   122646         25        0.02   MEAN      17.0833
    10        6  25.3351  122643        303        0.247  MEAN      17.1044
    10        3  24.6518  122646         25        0.02   LAST      17.1174
    10        6  26.1851  122643        303        0.247  MEDIAN    17.1359
    10        6  28.6719  122643        303        0.247  RAND      17.2061
    10        7  27.8435  122642        514        0.419  MEDIAN    17.2122
    10        6  24.3454  122643        303        0.247  LAST      17.2913
    10        7  25.7899  122642        514        0.419  MEAN      17.3512
    10        7  29.9075  122642        514        0.419  RAND      17.4172
    10        2  26.8841  122647          4        0.003  RAND      17.5829
    10        2  25.7744  122647          4        0.003  MEDIAN    17.5904
    10        7  25.0313  122642        514        0.419  LAST      17.6205
    10        2  24.3098  122647          4        0.003  LAST      17.6249
    10        2  27.4465  122647          4        0.003  MEAN      17.6399
    15        1  24.8947  122648          0        0      MEAN      17.7569
    15        1  27.5341  122648          0        0      MEDIAN    17.8174
    15        1  29.9685  122648          0        0      RAND      17.8531
    15        1  24.3902  122648          0        0      LAST      17.8877
    10        1  27.0209  122648          0        0      RAND      21.3044
    10        1  27.2846  122648          0        0      MEAN      21.3681
    10        1  25.5584  122648          0        0      MEDIAN    21.3793
    10        1  25.1332  122648          0        0      LAST      21.4172

